start_time,away_team,away_team_score,home_team,home_team_score
2022-11-01 00:00:00+00:00,DETROIT PISTONS,108,MILWAUKEE BUCKS,110
2022-11-01 01:00:00+00:00,MEMPHIS GRIZZLIES,105,UTAH JAZZ,121
2022-11-01 02:30:00+00:00,HOUSTON ROCKETS,93,LOS ANGELES CLIPPERS,95
2022-10-18 23:30:00+00:00,PHILADELPHIA 76ERS,117,BOSTON CELTICS,126
2022-10-19 02:00:00+00:00,LOS ANGELES LAKERS,109,GOLDEN STATE WARRIORS,123
2022-10-19 23:00:00+00:00,ORLANDO MAGIC,109,DETROIT PISTONS,113
2022-10-19 23:00:00+00:00,WASHINGTON WIZARDS,114,INDIANA PACERS,107
2022-10-19 23:30:00+00:00,HOUSTON ROCKETS,107,ATLANTA HAWKS,117
2022-10-19 23:30:00+00:00,NEW ORLEANS PELICANS,130,BROOKLYN NETS,108
2022-10-19 23:30:00+00:00,NEW YORK KNICKS,112,MEMPHIS GRIZZLIES,115
2022-10-19 23:30:00+00:00,CHICAGO BULLS,116,MIAMI HEAT,108
2022-10-19 23:30:00+00:00,CLEVELAND CAVALIERS,105,TORONTO RAPTORS,108
2022-10-20 00:00:00+00:00,OKLAHOMA CITY THUNDER,108,MINNESOTA TIMBERWOLVES,115
2022-10-20 00:00:00+00:00,CHARLOTTE HORNETS,129,SAN ANTONIO SPURS,102
2022-10-20 01:00:00+00:00,DENVER NUGGETS,102,UTAH JAZZ,123
2022-10-20 02:00:00+00:00,DALLAS MAVERICKS,105,PHOENIX SUNS,107
2022-10-20 02:00:00+00:00,PORTLAND TRAIL BLAZERS,115,SACRAMENTO KINGS,108
2022-10-20 23:30:00+00:00,MILWAUKEE BUCKS,90,PHILADELPHIA 76ERS,88
2022-10-21 02:00:00+00:00,LOS ANGELES CLIPPERS,103,LOS ANGELES LAKERS,97
2022-10-21 23:00:00+00:00,NEW ORLEANS PELICANS,124,CHARLOTTE HORNETS,112
2022-10-21 23:00:00+00:00,SAN ANTONIO SPURS,137,INDIANA PACERS,134
2022-10-21 23:00:00+00:00,CHICAGO BULLS,100,WASHINGTON WIZARDS,102
2022-10-21 23:30:00+00:00,ORLANDO MAGIC,98,ATLANTA HAWKS,108
2022-10-21 23:30:00+00:00,TORONTO RAPTORS,105,BROOKLYN NETS,109
2022-10-21 23:30:00+00:00,BOSTON CELTICS,111,MIAMI HEAT,104
2022-10-21 23:30:00+00:00,DETROIT PISTONS,106,NEW YORK KNICKS,130
2022-10-22 00:00:00+00:00,MEMPHIS GRIZZLIES,129,HOUSTON ROCKETS,122
2022-10-22 00:00:00+00:00,UTAH JAZZ,132,MINNESOTA TIMBERWOLVES,126
2022-10-22 02:00:00+00:00,DENVER NUGGETS,128,GOLDEN STATE WARRIORS,123
2022-10-22 02:00:00+00:00,PHOENIX SUNS,111,PORTLAND TRAIL BLAZERS,113
2022-10-22 22:00:00+00:00,SAN ANTONIO SPURS,114,PHILADELPHIA 76ERS,105
2022-10-22 23:00:00+00:00,DETROIT PISTONS,115,INDIANA PACERS,124
2022-10-22 23:00:00+00:00,BOSTON CELTICS,126,ORLANDO MAGIC,120
2022-10-23 00:00:00+00:00,CLEVELAND CAVALIERS,128,CHICAGO BULLS,96
2022-10-23 00:00:00+00:00,TORONTO RAPTORS,109,MIAMI HEAT,112
2022-10-23 00:00:00+00:00,HOUSTON ROCKETS,105,MILWAUKEE BUCKS,125
2022-10-23 00:30:00+00:00,MEMPHIS GRIZZLIES,96,DALLAS MAVERICKS,137
2022-10-23 01:00:00+00:00,OKLAHOMA CITY THUNDER,117,DENVER NUGGETS,122
2022-10-23 02:00:00+00:00,LOS ANGELES CLIPPERS,111,SACRAMENTO KINGS,109
2022-10-23 19:30:00+00:00,PORTLAND TRAIL BLAZERS,106,LOS ANGELES LAKERS,104
2022-10-23 21:00:00+00:00,CHARLOTTE HORNETS,126,ATLANTA HAWKS,109
2022-10-23 23:00:00+00:00,WASHINGTON WIZARDS,107,CLEVELAND CAVALIERS,117
2022-10-23 23:00:00+00:00,UTAH JAZZ,122,NEW ORLEANS PELICANS,121
2022-10-24 00:00:00+00:00,MINNESOTA TIMBERWOLVES,116,OKLAHOMA CITY THUNDER,106
2022-10-24 00:30:00+00:00,SACRAMENTO KINGS,125,GOLDEN STATE WARRIORS,130
2022-10-24 02:00:00+00:00,PHOENIX SUNS,112,LOS ANGELES CLIPPERS,95
2022-10-24 23:00:00+00:00,INDIANA PACERS,106,PHILADELPHIA 76ERS,120
2022-10-24 23:30:00+00:00,TORONTO RAPTORS,98,MIAMI HEAT,90
2022-10-24 23:30:00+00:00,ORLANDO MAGIC,102,NEW YORK KNICKS,115
2022-10-25 00:00:00+00:00,BOSTON CELTICS,102,CHICAGO BULLS,120
2022-10-25 00:00:00+00:00,UTAH JAZZ,108,HOUSTON ROCKETS,114
2022-10-25 00:00:00+00:00,BROOKLYN NETS,124,MEMPHIS GRIZZLIES,134
2022-10-25 00:00:00+00:00,SAN ANTONIO SPURS,115,MINNESOTA TIMBERWOLVES,106
2022-10-25 02:00:00+00:00,DENVER NUGGETS,110,PORTLAND TRAIL BLAZERS,135
2022-10-25 23:00:00+00:00,DETROIT PISTONS,99,WASHINGTON WIZARDS,120
2022-10-25 23:30:00+00:00,DALLAS MAVERICKS,111,NEW ORLEANS PELICANS,113
2022-10-26 00:00:00+00:00,LOS ANGELES CLIPPERS,94,OKLAHOMA CITY THUNDER,108
2022-10-26 02:00:00+00:00,GOLDEN STATE WARRIORS,105,PHOENIX SUNS,134
2022-10-26 23:00:00+00:00,ORLANDO MAGIC,92,CLEVELAND CAVALIERS,103
2022-10-26 23:00:00+00:00,ATLANTA HAWKS,118,DETROIT PISTONS,113
2022-10-26 23:30:00+00:00,BROOKLYN NETS,99,MILWAUKEE BUCKS,110
2022-10-26 23:30:00+00:00,CHARLOTTE HORNETS,131,NEW YORK KNICKS,134
2022-10-26 23:30:00+00:00,PHILADELPHIA 76ERS,109,TORONTO RAPTORS,119
2022-10-27 00:00:00+00:00,INDIANA PACERS,109,CHICAGO BULLS,124
2022-10-27 00:00:00+00:00,SAN ANTONIO SPURS,122,MINNESOTA TIMBERWOLVES,134
2022-10-27 01:00:00+00:00,HOUSTON ROCKETS,101,UTAH JAZZ,109
2022-10-27 02:00:00+00:00,LOS ANGELES LAKERS,99,DENVER NUGGETS,110
2022-10-27 02:00:00+00:00,MIAMI HEAT,119,PORTLAND TRAIL BLAZERS,98
2022-10-27 23:30:00+00:00,DALLAS MAVERICKS,129,BROOKLYN NETS,125
2022-10-28 00:00:00+00:00,LOS ANGELES CLIPPERS,110,OKLAHOMA CITY THUNDER,118
2022-10-28 02:00:00+00:00,MIAMI HEAT,110,GOLDEN STATE WARRIORS,123
2022-10-28 02:00:00+00:00,MEMPHIS GRIZZLIES,125,SACRAMENTO KINGS,110
2022-10-28 23:00:00+00:00,ATLANTA HAWKS,136,DETROIT PISTONS,112
2022-10-28 23:00:00+00:00,CHARLOTTE HORNETS,93,ORLANDO MAGIC,113
2022-10-28 23:30:00+00:00,CLEVELAND CAVALIERS,132,BOSTON CELTICS,123
2022-10-28 23:30:00+00:00,PHILADELPHIA 76ERS,112,TORONTO RAPTORS,90
